Zip Code,Property,,,,,,,,,,,,,,,
50996,B04_0145_0007,B05_0145_0007,,,,,,,,,,,,,,
50997,B04_0175_0037,B05_0175_0037,,,,,,,,,,,,,,
51065,B04_0081_0002,B05_0081_0002,,,,,,,,,,,,,,
51109,B04_0185_0054,B05_0185_0054,,,,,,,,,,,,,,
51143,B04_0090_0003,B05_0090_0003,,,,,,,,,,,,,,
51145,B04_0121_0015,B04_0168_0038,B05_0121_0015,B05_0168_0038,,,,,,,,,,,,
51427,B04_0178_0151,B04_0187_0153,B05_0178_0151,B05_0187_0153,,,,,,,,,,,,
51429,B04_0193_0018,B05_0193_0018,,,,,,,,,,,,,,
51469,B04_0130_0288,B04_0170_0189,B05_0130_0288,B05_0170_0189,,,,,,,,,,,,
53001,B04_0158_0037,B05_0158_0037,,,,,,,,,,,,,,
53117,B04_0160_0040,B05_0160_0040,,,,,,,,,,,,,,
53123,B04_0139_0003,B05_0139_0003,,,,,,,,,,,,,,
53340,B04_0191_0021,B05_0191_0021,,,,,,,,,,,,,,
53842,B04_0172_0058,B05_0172_0058,,,,,,,,,,,,,,
80331,FIBU_P01_UNIT,FIBU_O01_UNIT,,,,,,,,,,,,,,
